36;clases;"PARA ESO"
36;clases;"MUSICA"
36;clases;"FILOSOFIA"
40;clases;"FRANCES"
42;clases;"THAI-BOXING"
42;clases;"ADIESTRAMIENTO DE PERROS"
42;clases;"ESCALADA"
49;clases;"MECANICA DE BICICLETAS"
50;clases;"ITALIANO"
50;clases;"AUTOCAD"
51;clases;"MATEMATICAS"
51;clases;"ORIENTADOR LABORAL"
53;clases;"clases DE PRIMARIA"
54;clases;"clases DE PERCUSION"
58;clases;"PSICOMOTRICIDAD INFANTIL"
58;clases;"ARTE INFANTIL"
58;clases;"INICIACION A LA MUSICA INFANTIL"
58;clases;"CIENCIA INFANTIL"
17;bienes;"AMPLIFICADOR DE GUITARRA ELECTRICA "
17;bienes;"MARSHASLL VALVESTATE S-80"
32;bienes;"HUERTO MINIMAL"
32;bienes;"BICI"
32;bienes;"ALQUILER"
34;bienes;"GALLINAS AUTOCTONAS"
36;bienes;"HABITACION"
36;bienes;"MOTOSIERRA"
37;bienes;"HUERTO"
37;bienes;"ESPACIO POLIVALENTE EN LOCAL DE LA IGLESUELA"
58;bienes;"COCHE GRANDE"
59;servicios;"MAMPORRERO"
