12,2014-08-04,25
12,2014-08-04,119
9,2014-08-04,19
6,2014-08-04,13
19.92,2014-08-04,108
4.08,2014-08-04,109
9,2014-08-04,85
0.8,2014-10-10,109
2,2014-10-10,25
1,2014-10-10,19
1,2014-10-10,13
3.2,2014-10-10,108
2,2014-10-10,119
1,2014-10-10,85
2,2014-11-07,108
1.5,2014-11-07,19
1,2014-11-07,119
2,2014-11-07,109
1,2014-11-07,85
1.5,2014-11-07,66
2,2014-11-29,66
2,2014-11-29,108
2,2014-11-29,19
2,2014-11-29,109
1,2014-11-29,119
